data_concerto,ora_concerto,nome_ambiente,indirizzo_ambiente,nome_citta,cap_citta,artista
2024-05-08,19:30:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Torrance Howell
2025-07-11,22:30:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Tyreek Padberg
2016-06-05,21:00:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Ima Hilpert
2024-10-20,22:00:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Victoria Hodkiewicz
2023-09-27,19:00:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Torrance Howell
2020-02-23,22:00:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Deven Ferry
2019-11-14,22:30:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Candace Pouros
2025-02-25,19:30:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Brannon Upton
2016-07-07,20:30:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Dahlia Maggio
2020-11-20,20:00:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Mike Herman
2022-12-17,18:30:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Yasmine Treutel
2024-05-15,19:30:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Karina Muller
2022-01-30,23:30:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Bonita Larson
2024-07-20,23:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Blanca Langosh
2024-03-07,21:00:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Morris Hermann
2020-07-27,22:30:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Lionel Pfannerstill
2023-03-20,22:30:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Akeem Blanda
2021-03-21,22:30:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Belle Mante
2019-10-05,20:00:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Lionel Pfannerstill
2022-03-16,20:00:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Dahlia Maggio
2019-12-27,22:00:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Morris Hermann
2024-07-05,18:30:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Cheyanne Feil
2018-09-06,23:00:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Eva Stehr
2017-12-26,21:00:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Kian Cremin
2018-01-17,21:00:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Ariel Tillman
2022-05-02,21:00:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Brannon Upton
2017-08-19,21:30:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Madge Kuphal
2021-05-30,20:00:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Graciela Kuvalis
2021-01-31,21:30:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Mike Herman
2019-01-16,23:00:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Candace Pouros
2018-03-15,20:00:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Jazlyn Little
2023-08-17,19:30:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Candace Pouros
2023-12-25,18:30:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Madonna Veum
2024-08-13,23:00:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Taylor Hessel
2019-10-20,22:00:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Jenifer Kuvalis
2019-07-04,20:00:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Ima Hilpert
2016-04-13,21:30:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Willy Heller
2025-07-23,22:30:00,both Arena,"454 Lake Loopville, Cleveland, Massachusetts 22956",Fresno,82763,Victoria Hodkiewicz
2016-10-01,21:00:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Ben Abbott
2016-02-08,22:30:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Elisa Wehner
2015-11-03,20:30:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Ova Collins
2016-10-05,22:30:00,begin Arena,"9522 Alleyton, San Antonio, Oregon 36987",Reno,86041,Kian Cremin
2016-06-21,21:30:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Bridgette Breitenberg
2019-09-01,19:00:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Taylor Hessel
2022-08-10,20:30:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Ernestina Leffler
2024-11-14,21:00:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Burdette Ankunding
2018-04-24,21:00:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Neil Rath
2016-05-20,22:00:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Elenora Steuber
2017-10-30,20:00:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Beau Vandervort
2020-12-12,22:30:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Jaquan Goldner
2022-06-20,21:00:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Jaden Gutmann
2016-11-16,21:00:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Kasey Weissnat
2021-09-17,20:30:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Akeem Blanda
2018-07-08,21:00:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Bonita Larson
2022-09-06,23:30:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Dahlia Maggio
2019-01-16,22:30:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Blanca Langosh
2015-09-04,22:30:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Morris Hermann
2022-06-28,22:00:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Macie Klocko
2015-10-28,19:00:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Orlo Simonis
2018-06-23,23:30:00,can Arena,"693 Lake Manorhaven, Baltimore, Illinois 31057",Greensboro,49984,Torrance Howell
2023-06-30,21:00:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Belle Mante
2023-01-16,19:30:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Tyreek Padberg
2019-12-28,22:00:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Madonna Veum
2017-06-22,22:30:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Osvaldo Hyatt
2022-11-04,18:30:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Osvaldo Hyatt
2024-01-07,22:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Taya Dicki
2019-11-04,19:30:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Osvaldo Hyatt
2015-12-18,20:00:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Raegan Purdy
2024-02-22,21:00:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Jayda Beier
2015-08-28,19:00:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Willow Kling
2015-08-18,22:00:00,begin Arena,"9522 Alleyton, San Antonio, Oregon 36987",Reno,86041,Taylor Hessel
2018-03-12,22:00:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Kayla McLaughlin
2018-10-24,21:00:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Tomasa Waters
2021-05-27,19:00:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Ben Abbott
2019-04-24,20:30:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Nellie Schowalter
2017-09-19,18:00:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Christelle Bogan
2015-12-29,19:30:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Akeem Blanda
2016-08-28,18:00:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Narciso Stiedemann
2023-09-16,19:00:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Tyreek Padberg
2019-10-04,22:30:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Graciela Kuvalis
2019-04-14,18:00:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Ben Abbott
2023-11-01,20:30:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Cheyanne Feil
2021-05-11,18:30:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Ludwig Cummings
2018-11-03,21:30:00,can Arena,"693 Lake Manorhaven, Baltimore, Illinois 31057",Greensboro,49984,Deven Ferry
2017-12-09,18:30:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Ova Collins
