data_concerto,ora_concerto,nome_ambiente,indirizzo_ambiente,nome_citta,cap_citta,gruppo
2022-07-07,23:00:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Patrick Rutherford
2017-10-22,21:00:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Anita Rippin
2019-12-09,22:30:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Tressa Johns
2015-12-14,22:00:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Francesco Macejkovic
2019-11-15,23:30:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Tate Denesik
2024-08-15,23:00:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Amelia Cruickshank
2022-11-13,22:30:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Lilyan Bins
2023-03-05,18:30:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Shanelle Beier
2016-12-27,19:00:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Gwen Turcotte
2018-12-18,18:30:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Torrance Baumbach
2023-01-16,19:30:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Veronica Miller
2020-01-18,18:30:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Isabella Towne
2025-07-12,19:00:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Bernadette Stark
2022-03-25,19:30:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Isabella Towne
2017-02-18,19:00:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Alda Boehm
2024-12-18,22:00:00,both Arena,"454 Lake Loopville, Cleveland, Massachusetts 22956",Fresno,82763,Lexus Cole
2015-12-22,21:30:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Lilyan Bins
2015-11-21,22:30:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Elliot Mertz
